History,Item,Reception,Comments,Misc
2025-21-03,City of Ember (2008),3,
2025-21-03,Gravity (2013),4,
2025-28-03,Starship Troopers (1997),,
2025-28-03,Robocop (1987),,
2025-04-04,The Fifth Element (1997),,
2025-04-04,Witch Mountain (1975),3,
2025-11-04,Blue Harvest (2007),9,blue harvest was kindof a drinking game worst case scenario
2025-11-04,Ghosts of Mars (2001),8,
2025-25-04,Mickey 17 (2025),8,
2025-25-04,"Lexx S01E01 ""I Worship His Shadow""",8,
2025-02-05,Europa Report (2013),6,
2025-02-05,The Roller Blade Seven (1991),3,white supremacist money-laundering scheme
2025-09-05,Re-Animator (1985),5,
2025-09-05,2001: A Space Travesty (2000),4,hard to give a rating for; people enjoyed it but not because of the movie
2025-16-05,Wargames (1983),8,egg
2025-16-05,Invasion of the Bee Girls (1973),4,nothing happened too slowly
2025-06-06,Levels (2024),4,matrix slop
2025-06-06,Barb Wire (1996),8,
2025-06-13,Cowboys & Aliens (2011),3,people felt it just had no plot or character depth
2025-06-13,The Thing From Another World (1951),6,fascinating insight into 1950s American cultural dynamics
2025-06-20,The Endless (2017),9,amazing find. does a lot with a little. novel antagonist. primer meets donnie darko. rewards you for paying attention
2025-06-20,Llamageddon (2015),6,funny. slow midsection. the writer's barely disguised llama oviposition kink
2025-07-04,Independence Day (1996),6,
2025-07-04,Bicentennial Man (1999),7,it worked
2025-07-18,Ghostbusters (1984),8,they liked it
2025-07-18,Cocaine Crabs From Outer Space (2022),8,too many white guy syndrome
2025-07-25,Thumb Wars: The Last Cuticle (1999),3,really not what you're hoping for
2025-07-25,SCP: Overlord,6,well-executed aesthetic LARP
2025-07-25,Immortal (2004),7,in new york city the to-be-executed ancient egyptian god horus impregnates an anomalously fertile alien woman by befriending her psychopomp and possessing the recently cryogenically unfrozen genetically unaltered body of a famous revolutionary philosopher. a tonally serious movie despite the plot...
2025-08-01,Edge of Tomorrow (2014),6,more interesting than typical sci fi amerislop
2025-08-01,Babylon A.D. (2008),4,irredemable
2025-08-08,Back to the Future II (1989),6,
2025-08-08,War of the Worlds (2025),2,i need to save 1 for legitimately offensive movies - eliri. like sandpaper for my brain - tara. IP bait-and-switch.
2025-08-15,Time Chasers (1994),4,forgot this movie 15 minutes after watching it. painfully stupid protagonist. fun 18th century scenes
2025-08-15,The Running Man (1987),8,fun; predictable; good sets; resistance arc was sloppy
2025-08-22,Garm Wars: The Last Druid (2014),9,bad in extremely unique ways. 1/5 of the movie was irrelevant exposition. wanted to be a tv series. lives in my brain forever. - io. i didn't think the actual essence of the movie was boring - piya. garm - moss
2025-08-22,Videodrome (1983),5,good practical effects. suprisingly coherent plot
2025-08-29,The Net (1995),4,condescending and stupid - spear. oddly demeaning - null
2025-08-29,Superman (2025),6,good capeshit - io. unfulfilling jerkoff - rowenna. liked having multiple crises in parallel - null. it's fine - eliri
2025-09-05,Garm Wars: The Last Druid (2014),9,help - io. esoteric - spear. baffling - cassie
2025-09-05,Oblivion (2013),5,predictable twists - io. pretty and bland - cassie
2025-09-12,Cosmos (2019),3,never stopped dragging - cassie. more science fantasy than science fiction - moss. the format of scanning rf inside of your volvo just isn't conducive to a movie - io.
2025-09-12,It Conquered the World (1956),8,the props were incredible - io
2025-09-19,Stalker (1979),4,really liked the cinematography - eliri. cinematography was gorgeous - amber. 3/10 they didn't predict how cooked my attention span would be - m. multiple people fell asleep - io.
2025-09-19,Something Something Something Darkside (2009),2,everyone involved in this should be shot - josh. seth macfarlane should've died in 9/11 - spear. i reserve my ones - eliri.
2025-09-26,The End of Eternity (1987),6,best asimov movie adaptation - eliri
2025-09-26,Blood Machine (2019),8,aesthetic piece that won't age well - io. it's about self determination - cassie. needs more sock puppets - spear
2025-10-03,Star Wars Episode IX: The Rise of Skywalker (2019),2,
2025-10-03,Inspector Gadget (1999),,didn't finish
2025-10-10,Sentinel (2024),5,boring - penny. poor technical execution at every level except prosthetics - io & eliri
2025-10-10,Trail of the Screaming Forehead (2007),8,larry blamire - io. lol - josh. that was probably the best movie i've seen at bad sci fi night - ellie
2025-10-12,Tron: Ares,5,"good movie when characters weren't speaking",special group imax viewing
2025-10-17,Krull (1983),4,editors are there to cut a movie - eliri. they bolted sci fi onto it because of star wars - io. spaceballs: the prequel - bun
2025-10-17,9 (2009),6,looks amazing - spear. visually innovative but slow plot - eliri
2025-10-24,Robot Jox (1990),7,good amerislop - josh. slop but fun slop - moss. i guess if you like mechs - io.
2025-11-07,Les Maîtres du temps (1982),6,fun plot and animation - io
2025-11-07,Nausicaä of the Valley of the Wind (1984),6,i mean it's a ghibli movie. soulful..beautiful animation - io
2025-11-14,The Adventures of Buckaroo Banzai Across The Eight Dimension (1984),9-racism,an interesting form of drag - io. comic book fanservice - eliri. i still don't really know what the eight dimension is - toffee
2025-11-14,Demon Seed (1977),5,took too long to get to its premise and had me feeling like i watched 2 movies - io. if the effects were better and the writing was better it would be a good movie - cassie. sfx were good and they really love their bifocal lenses - eliri
2025-11-28,Ivan Vasilyevich Changes His Profession (1973),9,best musical i've ever seen - io
2025-12-05,Fantastic Planet (1973),,
2025-12-05,12 Monkeys (1995),,"not as cohesive as brazil - cassie"
2025-12-12,Bright (2017),6,"not sci fi - io. sometimes to kill a bigot you have to be a bigger bigot - cassie. you can tell there are sections in the script that say ""say will smith things"" - josh. missing dj jazzy jeff - cadence"
2025-12-12,Zardoz (1974),4,where was jorodowsky - io. best enjoyed via youtube clips - luna. turn off after 5 minutes - cadence. i wish i was higher - sara.
2025-12-19,Coherence (2013),5,started too slow. the anachronism bloated the complexity that the plot anchors (e.g. glowsticks & boxes) attempted to address
2025-12-19,Megaforce (1982),3,i lost brain cells watching this movie - eliri
2025-12-19,Spaceballs (1987),10,we needed a palette cleanser
2026-01-02,Moonraker (1978),5,i can't believe how many people saw this movie - amber. it hurt but in a relaxing way - tephra. so bad it's good but not that good - cassie.
2026-01-02,The Twilight Zone S01E08 (1959),6,it's so well-trod now that it isn't particularly entertaining to watch - io
2026-01-09,eXistenZ (1999),6,"postmodernism: much better sober - io. shoutout to props - cassie"
2026-01-09,Planet of the Apes (1968),8,"the plot went in a frustrating direction halfway through the movie, otherwise great. it's an expanded twilight zone episode - io"
2026-01-23,Beta Test (2016),8,"awful"
2026-01-23,The 6th Day (2000),8,"amazing"

